# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 283, mean track length: 2
185 6.1305675885695861 0.064534659344909262 32.987622188042373 90 92 66 0.1892382818043922 242 1458 186 3068
186 2.8804592636746289 1.033827472242701 15.285259574251404 157 148 158 0.57233536276350327 242 1699 186 3166
187 1.6414709114198649 1.155248758321533 15.415909914250349 146 10 56 0.0069310291141578481 242 721 186 3168
188 4.7638614078805839 -3.8698031093136951 31.287078019868549 80 79 84 0.050801881921544625 242 1531 186 3198
189 9.6122628190513595 -4.1268370763418014 33.341495495605862 19 25 35 0.34183492889419276 242 1537 186 3199
190 12.073042798721435 -3.4154110763965702 32.813878598830193 55 58 75 0.24943589335908148 242 1549 186 3223
191 12.248329833955133 -3.2204674475337298 32.842859964273245 218 226 239 0.44305655214493223 242 1729 186 3227
192 3.6768590365575347 -2.8991328458527716 30.918567211648607 156 139 119 0.26448614869745468 242 1724 186 3234
193 11.841037553414612 -2.7859915127179127 33.189246330538317 7 16 11 0.41455737043349583 242 1567 186 3243
194 4.9280136627091311 -2.4724414583640306 31.880774585921827 128 129 131 0.22233470536285643 242 1569 186 3250
195 3.7907959375843898 -1.9386066733521312 31.217390258149205 91 92 87 0.099613952423656144 242 1754 186 3267
196 5.4143576479057165 -1.9692616671729017 32.225939391238072 42 41 45 0.15044004761070856 242 1592 186 3269
197 7.5414219722457148 -2.0320806854785252 33.218114504841878 25 28 11 0.2271492507542075 242 1357 186 3270
198 5.6835391083541378 -1.9469096374269919 32.531021956980538 89 88 93 1.0436330872948192 242 1595 186 3273
199 4.841758622177025 -1.8491158377638335 31.965795606290609 66 65 70 0.039361447395159371 242 1597 186 3277
200 6.6567064210139302 -1.811998617191336 32.796375658890106 16 17 19 0.096036681117028788 242 1599 186 3285
201 4.6289331276030934 -1.6806638871426745 31.932258114279961 72 75 80 0.024396451792206706 242 1604 186 3290
202 4.6289331276030934 -1.6806638871426745 31.932258114279961 72 75 80 0.024396451792206706 242 1605 186 3291
203 5.9668663655648437 -1.4741469515577699 32.610364453976011 14 14 19 0.40485340277068171 242 1762 186 3299
204 4.8032719290553567 -1.23279560153513 32.138885165633013 85 85 61 0.58454137832168984 242 1613 186 3303
205 5.8649082291254926 -0.99180166772153366 32.810982714857751 85 84 89 0.14908459807343921 242 1622 186 3315
206 8.0196499131327315 -0.99593454065047327 33.386903679110148 59 59 61 0.10200565905106453 242 1624 186 3316
207 7.5666985390431938 -0.73853832240730277 33.354415860340417 19 24 4 0.077048823925759652 242 1639 186 3324
208 4.890017607347521 -0.65690274975319318 32.217237519371068 120 117 110 0.13776316310602618 242 1640 186 3326
209 5.2942439843567319 -0.60825645167997122 32.513064010558637 61 62 27 0.19872247817057687 242 1782 186 3329
210 4.2534935804480014 -0.52690327807634996 31.642043304360097 125 121 86 0.42545238606673746 242 1787 186 3331
211 4.9046928280880486 -0.47347596483014504 32.173753689858806 66 60 34 0.11016383213947384 242 1649 186 3334
212 4.2888152395131476 -0.33327756728928909 31.669883033355479 45 40 5 0.060927708320979414 242 1652 186 3338
213 6.9697940009720281 0.019873194524632268 33.29808036219675 71 75 40 0.2282706653120638 242 1456 186 3365
214 7.4316839051389412 0.16361043637271561 33.325107664194668 65 71 37 0.21092899943192928 242 1675 186 3370
215 10.903829742375564 0.89044261960681537 20.507843396476567 2 7 0 0.49165743781000326 242 1686 186 3409
216 1.0706701992737757 0.98406864693521934 15.670571468619265 156 161 173 0.10600603258141969 242 1822 186 3422
217 9.2494268328729152 -4.1960692360598868 33.314975200564866 13 24 22 0.17456775070215819 242 1717 186 3444
218 3.856023642150324 -3.8187897236358617 30.703224561823795 36 38 35 0.49083118986434487 242 1715 186 3446
219 10.26639202235606 -3.6809232084491494 33.534482303857331 30 39 47 0.10096153261110291 242 1542 186 3455
220 4.3902759075268802 -3.0092960815758931 31.310526811074961 117 108 109 1.134231144127845 242 1546 186 3459
221 4.3902759075268802 -3.0092960815758931 31.310526811074961 117 108 109 1.134231144127845 242 1547 186 3460
222 12.207309513450674 -2.8647852408429979 32.840441988881807 63 84 109 0.084351654065787346 242 1732 186 3470
223 4.5064384928258097 -2.6562179083345563 31.637139654889072 117 111 107 0.1866703396668476 242 1731 186 3473
224 6.9905552942565148 -2.4999486938227489 32.916259602072792 44 44 33 0.018608393550087518 242 1741 186 3484
225 4.3806716907274819 -2.1662108505443323 31.674934271765984 21 22 24 0.21858520067040443 242 1748 186 3488
226 8.1541904031092933 -1.9677311106264188 33.096263946433879 14 17 4 0.11338313582796089 242 1756 186 3496
227 8.2377798177742765 -1.8225878836070162 33.032646635261898 86 91 87 0.36117406284798698 242 1758 186 3499
228 4.8686714020343471 -1.4841082787301734 32.158126153593273 5 6 11 0.096350562109461996 242 1761 186 3503
229 6.5636984074256253 -0.91407346895433683 33.094885159131046 21 24 7 0.1772438506110213 242 1776 186 3520
230 6.5636984074256253 -0.91407346895433683 33.094885159131046 21 24 7 0.1772438506110213 242 1777 186 3521
231 4.3562703078323661 -0.83651237646532695 31.783817367724239 42 36 10 0.067816307082476907 242 1779 186 3523
232 4.3562703078323661 -0.83651237646532695 31.783817367724239 42 36 10 0.067816307082476907 242 1778 186 3524
233 7.2842751220611435 -0.84370834782377335 33.29685278634765 73 76 59 0.02216355650799031 242 1630 186 3525
234 7.2842751220611435 -0.84370834782377335 33.29685278634765 73 76 59 0.02216355650799031 242 1631 186 3526
235 7.1035364961962939 -0.73732404061360057 33.381294709804472 28 27 9 0.054029275189908778 242 1781 186 3532
236 8.4314489567479285 -0.37245303221453874 33.237786509497461 12 17 1 0.86469008800371039 242 1869 186 3542
237 4.0532717463397807 -0.3060084447569319 31.550375934345755 104 105 74 0.063022763602288548 242 1793 186 3543
238 5.17524365072601 -0.17798840104013544 32.424694541784106 66 64 42 0.070414180086319111 242 1795 186 3549
